,brand,model_name,screen_size (inch),price(₹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
36,ASUS,ASUS Zenbook 14,14 Inches,"1,15,990",,1 TB,Intel Core Ultra 7,Windows 11 Home,4.0 out of 5 stars,67 ratings,Integrated
37,Dell,Vostro 3530,15 Inches,"34,990",16 GB,512 GB,Core i3,Windows 11 Home,3.5 out of 5 stars,90 ratings,Integrated
38,Portronics,no model_name,no screen_size,349,no ram,no storage,no cpu_model,no operating_system,4.2 out of 5 stars,"7,011 ratings",No description
39,Lenovo,Chromebook,11.6 Inches,"11,990",4 GB,64 GB,Others,Chrome OS,3.6 out of 5 stars,57 ratings,Integrated
40,HP,HP Laptop,39.6 Centimetres,"62,990",16 GB,512 GB,no cpu_model,Windows 11 Home,3.7 out of 5 stars,398 ratings,Dedicated
41,HP,16-ag1048AU,40.6 Centimetres,"75,990",,512 GB,Ryzen 7,Windows 11 Home,4.2 out of 5 stars,34 ratings,Integrated
42,HP,HP Gaming Laptop,40.9 Centimetres,"1,27,990",16 GB,1 TB,Intel Core i7,Windows 11 Home,2.5 out of 5 stars,2 ratings,Dedicated
43,HP,HP Laptop,15.6 Inches,"1,02,990",24 GB,1 TB,Intel Core i7,Windows 11 Home,3.6 out of 5 stars,66 ratings,Dedicated
44,Walker,NU14A1,14.1 Inches,"12,190",4 GB,128 GB,Celeron N4020,Windows 11 Home,3.2 out of 5 stars,178 ratings,Integrated
45,HP,HP Laptop,39.6 Centimetres,"30,990",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.0 out of 5 stars,"1,881 ratings",Integrated
46,ASUS,ASUS Vivobook S14,14 Inches,"69,990",16 GB,no storage,Intel Core Ultra 5,Windows 11 Home,4.5 out of 5 stars,27 ratings,Integrated
47,ASUS,Vivobook Go 15,15.6 Inches,"28,790",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.3 out of 5 stars,45 ratings,Integrated
48,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
49,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"90,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
50,Dell,Vostro 3530,15 Inches,"34,990",16 GB,512 GB,Core i3,Windows 11 Home,3.5 out of 5 stars,90 ratings,Integrated
51,ASUS,ASUS Vivobook,15.6 Inches,"45,989",16 GB,512 GB,Core i5,Windows 11 Home,3.9 out of 5 stars,54 ratings,Integrated
52,ASUS,ASUS Vivobook S14,14 Inches,"69,990",16 GB,no storage,Intel Core Ultra 5,Windows 11 Home,4.5 out of 5 stars,27 ratings,Integrated
53,Lenovo,Yoga 7 2-in-1,14,"1,07,890",16 GB,1 TB,Intel Core Ultra 5,Windows 11 Home,5.0 out of 5 stars,4 ratings,Integrated
54,Lenovo,Lenovo V15,15.6 Inches,"36,990",16 GB,512 GB,Core i3,Windows 11 Home,3.4 out of 5 stars,21 ratings,Integrated
55,Lenovo,Tab Plus,11.5 Inches,"14,990",no ram,no storage,no cpu_model,Android,4.4 out of 5 stars,"1,292 ratings",Integrated
56,ASUS,ASUS TUF Gaming F15,15.6 Inches,"92,990",16 GB,512 GB,no cpu_model,Windows 11 Home,3.8 out of 5 stars,32 ratings,Dedicated
57,Lenovo,IdeaPad Slim 3,15.6 Inches,"45,490",16 GB,512 GB,Core i5,"Windows 11 Home 64, English",4.2 out of 5 stars,28 ratings,Integrated
58,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
59,Dell,Vostro 3530,15 Inches,"34,990",16 GB,512 GB,Core i3,Windows 11 Home,3.5 out of 5 stars,90 ratings,Integrated
60,ASUS,ASUS TUF Gaming F16,16 Inches,"99,990",16 GB,1 TB,Intel Core i5,Windows 11 Home,4.2 out of 5 stars,9 ratings,Dedicated
61,ASUS,ASUS Vivobook 15,15.6 Inches,"62,990",16 GB,1 TB,Intel Core i7,Windows 11 Home,3.7 out of 5 stars,41 ratings,Integrated
62,ZEBRONICS,no model_name,no screen_size,189,no ram,no storage,no cpu_model,no operating_system,3.5 out of 5 stars,"3,521 ratings",No description
